id,department,project_name,scope_of_work,pm_department,project_status,neighborhood,authorization_existing,authorization_fy,authorization_future,grant_existing,grant_fy,grant_future,go_expended,capital_year_0,capital_year_1,capital_year_25,grant_expended,grant_year_0,grant_year_1,grant_year_25,external_funds,total_project_budget,sum_authorization
395,Parks And Recreation Department,Boston Common Parkman Bandstand,"Design And Construct Improvements To The Stone Masonry And Metal Railings, And Install An Accessible Ramp To Create Ada Access.",Parks And Recreation Department,New Project,Beacon Hill,0,0,0,1860000,0,0,0.0,0,0,0.0,0.0,0,75000,1785000.0,0,1860000,0
396,Parks And Recreation Department,Ronan Park Wall Repair,Rebuild The Wall On The Southern Property Line.,Parks And Recreation Department,New Project,Dorchester,0,500000,0,0,0,0,0.0,0,50000,450000.0,0.0,0,0,0.0,0,500000,500000
397,Parks And Recreation Department,Harambee Park Phase 5,"Design And Construct Improvements To The Netball Court With Fencing, Build A Tennis Court, And Separate Sewer And Drain Lines As Required By Bwsc.",Parks And Recreation Department,New Project,Dorchester,0,1510000,0,0,0,0,0.0,0,0,1510000.0,0.0,0,0,0.0,0,1510000,1510000
398,Parks And Recreation Department,Doherty Park Accessibility Improvements,Design A Welcoming And Accessible Pedestrian Plaza On Bunker Hill Street.,Parks And Recreation Department,New Project,Charlestown,0,150000,0,0,0,0,0.0,0,0,150000.0,0.0,0,0,0.0,0,150000,150000
399,Parks And Recreation Department,Mclaughlin Playground,"Design Improvements To The Play Area, Basketball Court, Plaza, Accessible Pathways, And Fields.",Parks And Recreation Department,New Project,Mission Hill,0,300000,0,0,0,0,0.0,0,0,300000.0,0.0,0,0,0.0,0,300000,300000
400,Parks And Recreation Department,Porzio Park Play Area,Design Improvements To The Play Area And Splash Pad.,Parks And Recreation Department,New Project,East Boston,0,200000,0,0,0,0,0.0,0,0,200000.0,0.0,0,0,0.0,0,200000,200000
401,Parks And Recreation Department,Mozart Park Playground & Art Setting,Design Improvements To The Play Area And Site Permanent Location For Proposed Artwork.,Parks And Recreation Department,New Project,Jamaica Plain,0,170000,0,0,0,0,0.0,0,0,170000.0,0.0,0,0,0.0,0,170000,170000
402,Parks And Recreation Department,Trotter School Park Playground,"Design Improvements To The Play Area, Basketball Courts, And Gateway.",Parks And Recreation Department,New Project,Roxbury,0,165000,0,0,0,0,0.0,0,0,165000.0,0.0,0,0,0.0,0,165000,165000
403,Parks And Recreation Department,Savin Hill Park Courts,Design Improvements To The Existing Sport Courts That Address Drainage And Accessibility.,Parks And Recreation Department,New Project,Dorchester,0,165000,0,0,0,0,0.0,0,0,165000.0,0.0,0,0,0.0,0,165000,165000
404,Property Management Department,City Hall New Elevator,"Design And Install A New 4 Stop Elevator In City Hall, Allowing Movement Between Floors 1, 2, 3, M, And 4 To Improve Accessibility Of The Interior Courtyard And Transaction Windows.",Public Facilities Department,In Design,Downtown/Government Center,6300000,0,0,0,0,0,0.0,0,500000,5800000.0,0.0,0,0,0.0,0,6300000,6300000
405,Property Management Department,1010 Massachusetts Avenue,Begin Design Process For Comprehensive Renovation Of 1010 Mass Ave. And Begin Initial Interior Renovations.,Public Facilities Department,New Project,Roxbury,0,5000000,0,0,0,0,0.0,0,0,5000000.0,0.0,0,0,0.0,0,5000000,5000000
406,Public Works Department,Wood Avenue Safety Improvements,Design And Construct Safety Improvements Along Wood Ave. And In The Surrounding Neighborhoods.,Public Works Department,New Project,Hyde Park,0,2000000,0,0,0,0,0.0,0,0,2000000.0,0.0,0,0,0.0,0,2000000,2000000
407,Public Works Department,Jones Avenue Neighborhood Improvements,"Reconstruct The Existing Sidewalks And Roadways On Parts Of Jones Ave., Jacobs Street, Mascot Street, Mountain Ave., Ballou Ave., And Willowwood Street.",Public Works Department,New Project,Dorchester,0,5200000,0,0,0,0,0.0,0,500000,4700000.0,0.0,0,0,0.0,0,5200000,5200000
408,Transportation Department,Safety Surge: Safer Signals,Make Systemic Safety Improvements To Traffic Signals At 50 Locations Across The City. The Project Will Focus On Upgrading Locations In Underserved Communities And On Improving Conditions For All Roadway Users Along The City’S High-Crash Network.,Transportation Department,New Project,Citywide,0,3600000,0,0,14400000,0,0.0,0,31276,3568724.0,0.0,0,125105,14274895.0,0,18000000,3600000
409,Mayor'S Office Of Housing,Elevator Modernization,"Modernization Of Elevators At Public Housing Sites To Promote Accessibility, Ensure Redundancy, And Reduce Vulnerability To Outages, Heat, Or Environmental Hazards.",Boston Housing Authority,New Project,Multiple Neighborhoods,0,4000000,0,0,0,0,0.0,0,500000,3500000.0,0.0,0,0,0.0,0,4000000,4000000
410,Public Works Department,Central Maintenance Facility Roof Replacement,Replace The Roof At The Central Maintenance Facility At 400 Frontage Road.,Public Facilities Department,New Project,South Boston,0,5000000,0,0,0,0,0.0,0,250000,4750000.0,0.0,0,0,0.0,0,5000000,5000000
411,Police Department,Server Room Backup Cooling,Install Emergency Backup Cooling Systems To Headquarters Server Room.,Police Department,New Project,Roxbury,0,1000000,0,0,0,0,0.0,0,0,1000000.0,0.0,0,0,0.0,0,1000000,1000000
