id,department,project_name,scope_of_work,pm_department,project_status,neighborhood,authorization_existing,authorization_fy,authorization_future,grant_existing,grant_fy,grant_future,go_expended,capital_year_0,capital_year_1,capital_year_25,grant_expended,grant_year_0,grant_year_1,grant_year_25,external_funds,total_project_budget,sum_authorization
105,Parks And Recreation Department,Crawford Street Playground,"Design For A Comprehensive Park Improvement Including Play Area, Little League Field, And Passive Areas.",Parks And Recreation Department,In Construction,Roxbury,2179000,0,0,0,0,0,93497.0,1000000,256194,829309.0,0.0,0,0,0.0,0,2179000,2179000
106,Parks And Recreation Department,Cutillo Park,"Design For A Comprehensive Park Renovation Including Drainage, Play Lot, Courts, Passive Areas, Pathways, Landscaping, Site Furnishings And Infrastructure.",Parks And Recreation Department,In Construction,North End,2064959,0,0,0,0,0,637328.0,1200000,227631,0.0,0.0,0,0,0.0,0,2064959,2064959
107,Parks And Recreation Department,Daisy Field At Olmsted Park,"Park Renovation Including Two Softball Fields, Pathways, And Led Sports Lighting.",Parks And Recreation Department,In Design,Jamaica Plain,1140000,0,0,0,0,0,18738.0,5000,35000,1081262.0,0.0,0,0,0.0,0,1140000,1140000
108,Parks And Recreation Department,Dog Recreation Areas At Various Parks,Expand Dog Recreation Facilities Throughout The City.,Parks And Recreation Department,Annual Program,Citywide,500000,0,0,0,0,0,0.0,0,0,500000.0,0.0,0,0,0.0,0,500000,500000
109,Parks And Recreation Department,Dorchester Park Pathways,Mill And Repave Existing Paved Walkways In Dorchester Park.,Parks And Recreation Department,In Design,Dorchester,1820000,500000,0,0,0,0,49710.0,50000,0,2220290.0,0.0,0,0,0.0,0,2320000,2320000
110,Parks And Recreation Department,Dudley Town Common,"Improvements To Dudley Town Common To Support The Use Of This Neighborhood ""Common"" For Gathering And Civic Uses.",Parks And Recreation Department,In Design,Roxbury,972000,0,298000,0,0,0,21560.0,0,0,1248440.0,0.0,0,0,0.0,0,1270000,1270000
111,Parks And Recreation Department,Field House Programming Study,Study And Design Of Facility And Programming Improvements At Billings Field Fieldhouse And Lee Playground Fieldhouse.,Public Facilities Department,To Be Scheduled,Multiple Neighborhoods,125000,0,0,0,0,0,0.0,0,0,125000.0,0.0,0,0,0.0,0,125000,125000
112,Parks And Recreation Department,Field Lights At Various Parks,Upgrade Park Field Lights At Various Locations Including Hemenway Park And Fallon Field.,Parks And Recreation Department,Annual Program,Citywide,2265000,0,0,0,0,0,69050.0,100000,100000,1995950.0,0.0,0,0,0.0,0,2265000,2265000
113,Parks And Recreation Department,Flaherty (William F.) Playground,Upgrade Play Lot.,Parks And Recreation Department,In Design,Jamaica Plain,1930000,1500000,0,0,0,0,105612.0,50000,350000,2924388.0,0.0,0,0,0.0,0,3430000,3430000
114,Parks And Recreation Department,Fort Point Channel Park,"Design And Implementation Of A Signature, Climate Resilient Waterfront Park Along The Fort Point Channel. Federal Funding Is Anticipated.",Parks And Recreation Department,In Design,South Boston,10000000,0,0,0,0,10000000,0.0,300000,1695000,8005000.0,0.0,0,0,10000000.0,0,20000000,10000000
115,Parks And Recreation Department,Franklin Park Bear Dens,Repairs And Other Improvements Necessary To Secure And Provide Safe And Compliant Public Access To The Bear Dens Area Of Franklin Park.,Parks And Recreation Department,In Design,Roxbury,900000,0,0,0,0,0,0.0,37500,60000,802500.0,0.0,0,0,0.0,0,900000,900000
116,Parks And Recreation Department,Franklin Park Master Plan,Develop A Master Plan That Will Enhance Historic Franklin Park As A Keystone Park In The Geographical Heart Of The City.,Parks And Recreation Department,Implementation Underway,Multiple Neighborhoods,0,0,0,21900000,0,0,0.0,0,0,0.0,1328848.0,67240,0,20503912.0,0,21900000,0
117,Parks And Recreation Department,Franklin Park White Stadium,"Develop Designs For Converting The Field To Artificial Turf, Track Improvements, And Other Site Work Outside The Stadium To Better Integrate The Facility Into The Franklin Park Environment.",Parks And Recreation Department,To Be Scheduled,Roxbury,500000,0,0,0,0,0,0.0,0,0,500000.0,0.0,0,0,0.0,0,500000,500000
118,Parks And Recreation Department,General Parks Improvements,"Replace Fencing, Pavement, Court Lighting, And Other Infrastructure Improvements Needed.",Parks And Recreation Department,Annual Program,Citywide,3771000,0,0,0,0,0,699666.0,750000,750000,1571334.0,0.0,0,0,0.0,0,3771000,3771000
119,Parks And Recreation Department,Geneva Cliffs Urban Wild,"Reprogram Geneva Cliffs From An Urban Wild To A City Park With Playground, Passive Seating, Walking Paths, And Accessible Entrances.",Parks And Recreation Department,In Design,Dorchester,400000,0,1600000,0,0,0,0.0,20000,44341,1935659.0,0.0,0,0,0.0,0,2000000,2000000
120,Parks And Recreation Department,George Wright Golf Course,"Ongoing Improvements Including Drainage, Paving, And Other Miscellaneous Items.",Parks And Recreation Department,Annual Program,Hyde Park,1000000,0,0,0,0,0,235157.0,0,0,764843.0,0.0,0,0,0.0,0,1000000,1000000
121,Parks And Recreation Department,Greenhouses At Franklin Park,Renovation And Heating System Upgrades For Bprd'S Greenhouse Facility.,Public Facilities Department,To Be Scheduled,Roxbury,750000,0,0,0,0,0,0.0,0,0,750000.0,0.0,0,0,0.0,0,750000,750000
122,Parks And Recreation Department,Harambee Park Phase 4,"Reconstruct And Renovate Two Cricket Fields, Sports Field Lighting, Pedestrian Lighting, And Related Improvements.",Parks And Recreation Department,In Construction,Dorchester,2402928,0,0,0,0,0,70806.0,500000,1500000,332122.0,0.0,0,0,0.0,0,2402928,2402928
123,Parks And Recreation Department,Hardiman Playground,Develop Design For A Complete Renovation Of The Play Area.,Parks And Recreation Department,In Design,Allston/Brighton,100000,0,0,0,0,0,0.0,30000,0,70000.0,0.0,0,0,0.0,0,100000,100000
124,Parks And Recreation Department,Historic Cemeteries,Ongoing Program Of Repairs In Designated Historic Cemeteries Located Throughout The City.,Parks And Recreation Department,Annual Program,Multiple Neighborhoods,1500000,0,500000,0,0,0,308932.0,350000,0,1341068.0,0.0,0,0,0.0,0,2000000,2000000
125,Parks And Recreation Department,Jamaica Pond Boathouse Study,Programming Study For Jamaica Pond Boathouse.,Public Facilities Department,To Be Scheduled,Jamaica Plain,500000,0,0,0,0,0,0.0,0,0,500000.0,0.0,0,0,0.0,0,500000,500000
126,Parks And Recreation Department,Mary Ellen Welch Greenway,"Design Of Comprehensive Park Improvements Including Sea Level Rise Mitigation, Stormwater Management Upgrades, Improvements To Pathways, Furnishings, Plantings And Murals.",Parks And Recreation Department,In Design,East Boston,3300000,0,0,0,0,0,76950.0,50000,250000,2923050.0,0.0,0,0,0.0,0,3300000,3300000
127,Parks And Recreation Department,Mcgann Playground,Upgrade Play Lot.,Parks And Recreation Department,In Construction,Hyde Park,1045000,0,0,0,0,0,60215.0,734785,250000,0.0,0.0,0,0,0.0,0,1045000,1045000
128,Parks And Recreation Department,Mckinney Playground,Partial Implementation Of The Master Plan Including Ball Field Renovations And Pathway Improvements.,Parks And Recreation Department,In Design,Allston/Brighton,2010000,0,0,0,0,0,45000.0,30000,100000,1835000.0,0.0,0,0,0.0,750000,2760000,2010000
129,Parks And Recreation Department,Mclean Playground,Improvements To Basketball Court And Nearby Areas To Improve Accessibility And Access To The Site.,Parks And Recreation Department,In Design,East Boston,910000,0,0,0,0,0,15160.0,100000,0,794840.0,0.0,0,0,0.0,0,910000,910000
130,Parks And Recreation Department,Millennium Park,"Design And Construction Of Play Lot Improvements, Pathway Repaving, And Installation Of Modular Bathroom Facilities.",Parks And Recreation Department,In Construction,West Roxbury,5275000,0,0,0,0,0,2905712.0,554190,1500000,315098.0,0.0,0,0,0.0,0,5275000,5275000
131,Parks And Recreation Department,Millennium Park Restroom Building,Design And Construct Permanent Bathroom Facilities For The Park.,Public Facilities Department,To Be Scheduled,West Roxbury,250000,0,0,0,0,0,0.0,0,0,250000.0,0.0,0,0,0.0,0,250000,250000
132,Parks And Recreation Department,Moakley Park,Implementation Of Master Plan For Moakley Park. This Project Will Redesign The Park Including Climate Resilience Features To Mitigate Flood Risk.,Parks And Recreation Department,In Design,South Boston,37859765,0,0,1500000,0,10987200,4514677.0,500000,600000,32245088.0,1500000.0,0,0,10987200.0,0,50346965,37859765
133,Parks And Recreation Department,Moakley Park O&M Building,Design A New Operations And Maintenance Building As Part Of Phase 1 Park Improvements.,Public Facilities Department,In Design,South Boston,1050000,0,0,0,0,0,0.0,500000,0,550000.0,0.0,0,0,0.0,0,1050000,1050000
134,Parks And Recreation Department,Mother'S Rest At Four Corners,Design For Comprehensive Park Improvements Including Play Area And Passive Areas.,Parks And Recreation Department,In Construction,Dorchester,2238000,0,0,0,0,0,145446.0,1692554,300000,100000.0,0.0,0,0,0.0,52000,2290000,2238000
135,Parks And Recreation Department,Mount Hope Cemetery Paving Improvements,Survey And Design To Prioritize Roadway And Landscape Improvements At Mt. Hope Cemetery.,Parks And Recreation Department,In Design,Mattapan,300000,0,0,0,0,0,0.0,0,0,300000.0,0.0,0,0,0.0,0,300000,300000
136,Parks And Recreation Department,Murphy Playground,Renovation Of Park Including Refurbishing Ball Fields.,Parks And Recreation Department,In Design,Jamaica Plain,2900000,0,0,0,0,0,0.0,75000,145000,2680000.0,0.0,0,0,0.0,0,2900000,2900000
137,Parks And Recreation Department,O'Day Playground,"Renovate Park Including Play Lots, Water Play, Basketball Court, And Plaza Area.",Parks And Recreation Department,In Construction,South End,2644000,0,0,400000,0,0,164650.0,800000,1304350,375000.0,0.0,400000,0,0.0,0,3044000,2644000
138,Parks And Recreation Department,Odom Serenity Garden,Design Park Improvements In Conjunction With Moh For A Park Named In Memory Of Steven P. Odom.,Parks And Recreation Department,In Design,Dorchester,50000,0,0,0,0,0,23705.0,0,25000,1295.0,0.0,0,0,0.0,500000,550000,50000
139,Parks And Recreation Department,Open Space Acquisition,Acquire Property Suitable For Preservation And Use As Public Open Space.,Parks And Recreation Department,Annual Program,Citywide,10000000,0,0,0,0,0,0.0,0,0,10000000.0,0.0,0,0,0.0,0,10000000,10000000
140,Parks And Recreation Department,Park Planning Studies,"Planning And Related Landscape Design Services Including: Capital Phasing Plans, Development Of Standard Details And Specifications And Miscellaneous Planning Services.",Parks And Recreation Department,Annual Program,Citywide,332383,0,0,0,0,0,39050.0,0,0,293333.0,0.0,0,0,0.0,0,332383,332383
141,Parks And Recreation Department,Penniman Road Play Area,"Design For A Comprehensive Park Renovation Including Drainage, Play Lot, Courts, Passive Areas, Pathways, Landscaping, Site Furnishings And Infrastructure.",Parks And Recreation Department,In Design,Allston/Brighton,2050000,0,0,0,0,0,0.0,0,0,2050000.0,0.0,0,0,0.0,270000,2320000,2050000
142,Parks And Recreation Department,Peters Park Ballfield,Address Drainage Issues On Little League Field.,Parks And Recreation Department,In Construction,South End,505000,0,0,0,0,0,37500.0,292500,175000,0.0,0.0,0,0,0.0,0,505000,505000
143,Parks And Recreation Department,Public Garden Lagoon,"Improvements To The Soil Quality In The Bottom Of The Lagoon. Second Phase To Repair And Backfill Missing, Destroyed, And Leaking Granite Coping Surrounding The Lagoon.",Parks And Recreation Department,Annual Program,Beacon Hill,1800000,0,0,0,0,0,0.0,686900,650000,463100.0,0.0,0,0,0.0,0,1800000,1800000
144,Parks And Recreation Department,Public Garden Tool House,Design Of Facility Upgrades At The Public Garden Tool Shed.,Public Facilities Department,In Design,Beacon Hill,8610000,0,0,0,0,0,194521.0,550000,0,7865479.0,0.0,0,0,0.0,0,8610000,8610000
145,Parks And Recreation Department,Ramsay Park Ballfield,"Ball Field Renovations Including Irrigation, Site Utilities, Seating, Backstop, Fencing, And Site Furnishings.",Parks And Recreation Department,In Construction,South End,1798000,0,0,0,0,0,7500.0,400000,1000000,390500.0,0.0,0,0,0.0,0,1798000,1798000
146,Parks And Recreation Department,Ringer Playground,Design Of Recommendations From The Master Plan.,Parks And Recreation Department,In Design,Allston/Brighton,1700000,0,0,0,0,0,0.0,50000,100000,1550000.0,0.0,0,0,0.0,0,1700000,1700000
147,Parks And Recreation Department,Ryan Playground,"Design For A Comprehensive Park Improvements To Ball Fields, Playground, Basketball Court, Parking Area, Harbor Walk, Lighting, And Green Infrastructure To Mitigate Future Sea Level Rise Caused By Climate Change.",Parks And Recreation Department,In Design,Charlestown,18000000,0,0,0,0,0,515799.0,154201,130000,17200000.0,0.0,0,0,0.0,1000000,19000000,18000000
148,Parks And Recreation Department,Ryan Playground Field House,"Design Repairs To The Fieldhouse Including Foundations Repairs And Waterproofing, Updating Electrical, New Roof, And Replace Windows And Doors.",Public Facilities Department,To Be Scheduled,Charlestown,75000,0,0,0,0,0,0.0,0,0,75000.0,0.0,0,0,0.0,0,75000,75000
149,Parks And Recreation Department,Safety Surfacing Replacement,Upgrade And Replace Safety Surfacing At Various City Parks.,Parks And Recreation Department,Annual Program,Citywide,2000000,0,0,0,0,0,317400.0,170000,150000,1362600.0,0.0,0,0,0.0,0,2000000,2000000
150,Parks And Recreation Department,Sports Lighting Replacement,Annual Program For Replacing Sports Lighting. High Priority Projects Include Christopher Lee Playground And Clifford Playground.,Parks And Recreation Department,Annual Program,Citywide,3600000,0,0,0,0,0,925528.0,50000,150000,2474472.0,0.0,0,0,0.0,0,3600000,3600000
151,Parks And Recreation Department,Street Tree Planting,Ongoing Program Of Street Tree Planting Throughout The City.,Parks And Recreation Department,Annual Program,Citywide,7500000,0,0,0,0,0,904247.0,1000000,500000,5095753.0,0.0,0,0,0.0,0,7500000,7500000
152,Parks And Recreation Department,Titus Sparrow Park,Improve The Playground; Renovate The Tennis And Basketball Courts.,Parks And Recreation Department,In Construction,South End,2460000,0,0,0,0,0,126302.0,400000,1600000,333698.0,0.0,0,0,0.0,0,2460000,2460000
153,Parks And Recreation Department,Town Field Study,Develop A Comprehensive Park Master Plan That Will Guide Future Capital Investments.,Parks And Recreation Department,In Design,Dorchester,100000,150000,0,0,0,0,0.0,100000,150000,0.0,0.0,0,0,0.0,0,250000,250000
154,Parks And Recreation Department,Urban Wilds,"Renovate Walls, Walkways, And Signage Within Urban Wilds Owned By The Environment Department And The Parks And Recreation Department.",Parks And Recreation Department,Annual Program,Citywide,1400000,0,600000,0,0,0,96114.0,150000,350000,1403886.0,0.0,0,0,0.0,0,2000000,2000000
155,Parks And Recreation Department,Walsh Park,Develop A Comprehensive Park Master Plan That Will Guide Future Capital Investments.,Parks And Recreation Department,In Design,Dorchester,350000,2850000,0,500000,0,0,0.0,100000,350000,2750000.0,0.0,0,500000,0.0,0,3700000,3200000
156,Parks And Recreation Department,Watson Park,Develop Design Plans For A Set Of Passive Parks.,Parks And Recreation Department,In Design,South End,100000,0,0,0,0,0,0.0,45000,55000,0.0,0.0,0,0,0.0,0,100000,100000
157,Parks And Recreation Department,William Devine Golf Course,"Improve Drainage, Paving, And Other Miscellaneous Items.",Parks And Recreation Department,Annual Program,Roxbury,1150000,0,0,0,0,0,42820.0,35000,0,1072180.0,0.0,0,0,0.0,0,1150000,1150000
158,Parks And Recreation Department,Quincy Street Play Area,"Renovation To An Active Recreation Park Including Full Basketball Court, Café Tables, And Four Exercise Stations.",Parks And Recreation Department,In Design,Roxbury,1030000,0,0,0,0,0,0.0,0,0,1030000.0,0.0,0,0,0.0,0,1030000,1030000
159,Parks And Recreation Department,St. James Street Park,Renovation To A Small Park And Playground.,Parks And Recreation Department,In Design,Roxbury,1250000,0,0,0,0,0,0.0,0,0,1250000.0,0.0,0,0,0.0,0,1250000,1250000
160,Parks And Recreation Department,Rogers Park Phase 1,"Phase 1 Improvements Of Rogers Park Master Plan Including Renovations To The Baseball And Softball Fields, Perimeter Fence, New Led Sports Lighting And A Perimeter Walking Pathway With Improved Park Entrances.",Parks And Recreation Department,In Design,Allston/Brighton,300000,0,0,0,0,0,0.0,0,0,300000.0,0.0,0,0,0.0,0,300000,300000
161,Parks And Recreation Department,Boston Common Shaw Accessibility,Create Ada Accessible And General Pedestrianized Improvements At The Shaw Memorial On The Boston Common.,Parks And Recreation Department,In Design,Beacon Hill,0,0,0,450000,0,0,0.0,0,0,0.0,0.0,0,100000,350000.0,0,450000,0
162,Parks And Recreation Department,Franklin Park Elma Lewis Feasibility Study,Feasibility Study To Develop The Needs Of The Elma Lewis Playhouse.,Parks And Recreation Department,Study Underway,Roxbury,0,0,0,250000,0,0,0.0,0,0,0.0,0.0,0,75000,175000.0,0,250000,0
163,Parks And Recreation Department,Tebroc Street Play Area,"Renovate Playground Including New Play Equipment, Surfacing, Seating, Improve Drainage And Infiltrate Stormwater, And Protect And Expand Tree Canopy.",Parks And Recreation Department,In Design,Dorchester,1000000,0,0,0,0,0,0.0,0,0,1000000.0,0.0,0,0,0.0,0,1000000,1000000
164,Parks And Recreation Department,Condor Street Urban Wild,"Improve Water Quality And Aquatic Wildlife Habitat In The Immediate Area Of Chelsea Creek, Structural Safety Improvements To A Shoreline Viewing Pier, Improve Surfacing Of Concrete Walking Paths, And Create New Path Connections To Improve Summit Access.",Parks And Recreation Department,In Design,East Boston,760000,0,0,0,0,0,0.0,0,0,760000.0,0.0,0,0,0.0,0,760000,760000
165,Parks And Recreation Department,Jefferson Playground,"Ball Field Improvements, Renovate Playground, Resurface Basketball Court, Seating, And Drainage Improvements. Convert Ball Field Lighting To Led For Energy Efficiency.",Parks And Recreation Department,In Design,Jamaica Plain,350000,0,0,0,0,0,0.0,0,0,350000.0,0.0,0,0,0.0,0,350000,350000
166,Parks And Recreation Department,Fidelis Way,"Renovate Park Including Playground, Safety Surfacing, Water Play, Paving, Entrances And Pathways, And Minor Repairs To Basketball Courts.",Parks And Recreation Department,In Design,Allston/Brighton,300000,0,0,0,0,0,0.0,0,0,300000.0,0.0,0,0,0.0,0,300000,300000
167,Parks And Recreation Department,Webster Ave Playground,"Improvements To Playground Include Upgrades To Accessibility, Preserving And Protecting Trees, Infiltrating Storm Water Where Feasible.",Parks And Recreation Department,In Design,North End,470000,0,0,0,0,0,0.0,0,0,470000.0,0.0,0,0,0.0,0,470000,470000
168,Parks And Recreation Department,Ronan Park,"Renovate Park Including Full Upper Terrace, Playground, Safety Surfacing, Water Play, Paying, Entrances, And Basketball Courts.",Parks And Recreation Department,In Design,Dorchester,300000,0,0,0,0,0,0.0,0,0,300000.0,0.0,0,0,0.0,0,300000,300000
169,Parks And Recreation Department,Barry Playground,"Upgrade Field And Sports Lighting, Install New Drinking Fountains, Accessibility Improvements, Renovate Seawall, And Elevate The Harborwalk.",Parks And Recreation Department,In Design,Charlestown,400000,0,0,0,0,0,0.0,0,0,400000.0,0.0,0,0,0.0,0,400000,400000
170,Property Management Department,Municipal Facility Repairs,Building Renovations At Various Municipal Buildings Including City Hall And 1010 Massachusetts Avenue.,Public Facilities Department,Implementation Underway,Multiple Neighborhoods,30000000,0,0,0,0,0,7655892.0,1100000,1500000,19744108.0,0.0,0,0,0.0,0,30000000,30000000
171,Property Management Department,Family Justice Center Building Envelope Repairs,Window Replacements And Building Envelope Improvements.,Public Facilities Department,In Construction,Allston/Brighton,2350000,0,0,0,0,0,799307.0,1400000,150693,0.0,0.0,0,0,0.0,0,2350000,2350000
172,Property Management Department,201 Rivermoor Street,Install New Backup Generator And High Density Shelving For City Archives. Upgrade Hvac To Optimize Building Conditions For Long Term Storage. Relocate The Archeology Department.,Public Facilities Department,In Design,West Roxbury,2160000,0,0,0,0,0,726267.0,303093,175000,955640.0,0.0,0,0,0.0,0,2160000,2160000
173,Property Management Department,26 Court Street,"Renovate Building To Improve Envelope (Roof, New Windows, Masonry Repair) And Upgrade Interior.",Public Facilities Department,In Construction,Downtown/Government Center,165000000,0,0,0,0,0,11354414.0,25000000,101050000,27595586.0,0.0,0,0,0.0,0,165000000,165000000
174,Property Management Department,City Hall Hvac,Replace Air Handling Units.,Public Facilities Department,In Design,Downtown/Government Center,78220000,0,0,0,0,0,931395.0,801605,300000,76187000.0,0.0,0,0,0.0,0,78220000,78220000
175,Property Management Department,43 Hawkins Street,Roof Replacement And Exterior Envelope Repairs.,Public Facilities Department,In Design,Downtown/Government Center,2000000,0,0,0,0,0,0.0,59257,1000000,940743.0,0.0,0,0,0.0,0,2000000,2000000
176,Property Management Department,City Hall Plaza Phase 2,Continue Phased Plaza Improvements That Will Expand Accessibility On The South Plaza; Waterproofing And Masonry Repairs To The Plaza And The Dock Square Garage.,Public Facilities Department,In Design,Downtown/Government Center,50000000,0,0,0,0,0,56719.0,2000000,1000000,46943281.0,0.0,0,0,0.0,0,50000000,50000000
177,Property Management Department,Faneuil Hall And Sam Adams Park,"Repair Masonry, Address Drainage Issues And Create An Accessible Walkway. Install Permanent Decorative Wrought Iron Gates Around The Basement Windows And Restore The Bronze Fixtures.",Public Facilities Department,In Design,Downtown/Government Center,2150000,0,0,0,0,0,10625.0,400000,1500000,239375.0,0.0,0,0,0.0,0,2150000,2150000
178,Property Management Department,Veronica Smith Senior Center,Replace Hvac System.,Public Facilities Department,In Design,Allston/Brighton,400000,4400000,0,0,0,0,0.0,25000,200000,4575000.0,0.0,0,0,0.0,0,4800000,4800000
179,Property Management Department,Animal Shelter Hvac - 26 Mahler Road,Design And Implement Hvac And Building Repairs To The Boston Animal Shelter Facility.,Public Facilities Department,In Design,Roslindale,0,0,0,1000000,0,0,0.0,0,0,0.0,0.0,50000,200000,750000.0,0,1000000,0
180,Fire Department,Engine 17,Design And Construct A New Fire Station.,Public Facilities Department,In Construction,Dorchester,30000000,0,0,0,0,0,9116488.0,11000000,9883512,0.0,0.0,0,0,0.0,0,30000000,30000000
181,Fire Department,Engine 3,Design And Construct A New Fire Station.,Public Facilities Department,In Design,South End,3000000,0,0,0,0,0,0.0,0,125000,2875000.0,0.0,0,0,0.0,0,3000000,3000000
182,Fire Department,Engine 37,Design And Construct A New Fire Station.,Public Facilities Department,To Be Scheduled,Fenway-Kenmore,3000000,0,0,0,0,0,0.0,0,0,3000000.0,0.0,0,0,0.0,0,3000000,3000000
183,Fire Department,Fire Headquarters,"Building Renovations At The Boston Fire Department Headquarters Including A New Roof, And The Installation Of Sprinklers And An Updated Fire Alarm System. Accessibility Improvements Are Also Planned.",Public Facilities Department,In Construction,Roxbury,6195000,0,0,0,0,0,268018.0,2600000,2500000,826982.0,0.0,0,0,0.0,0,6195000,6195000
184,Fire Department,Fire Radio System Upgrades,Design And Implementation Of Upgrades To The Fire Radio System.,Fire Department,Implementation Underway,Citywide,46000000,0,0,0,0,0,19117275.0,10800000,10800000,5282725.0,0.0,0,0,0.0,0,46000000,46000000
185,Fire Department,Moon Island Seawall,Design For Infrastructure Improvements To Seawall Adjacent To The Fire Department Training Academy.,Public Facilities Department,In Design,Harbor Islands,15800000,0,0,0,0,0,68323.0,300000,500000,14931677.0,0.0,0,0,0.0,0,15800000,15800000
186,Fire Department,Fire Boat,"Replace The ""Damrell"", The Department'S Current 70 Foot Fire Boat.",Fire Department,Implementation Underway,Citywide,7100000,0,0,0,0,0,0.0,2000000,5100000,0.0,0.0,0,0,0.0,0,7100000,7100000
187,Fire Department,Dive Boat,Replace The Department'S Current Dive Boat.,Fire Department,Implementation Underway,Citywide,1700000,0,0,0,0,0,475556.0,0,0,1224444.0,0.0,0,0,0.0,0,1700000,1700000
188,Fire Department,Special Operations Command,Programming And Design For A New Special Operations Command Facility.,Public Facilities Department,To Be Scheduled,Citywide,3000000,0,0,0,0,0,3760.0,75000,0,2921240.0,0.0,0,0,0.0,0,3000000,3000000
189,Fire Department,Engine 18,Programming And Design For A New Fire Station To Replace The Existing Station.,Public Facilities Department,To Be Scheduled,Dorchester,3000000,0,0,0,0,0,0.0,0,0,3000000.0,0.0,0,0,0.0,0,3000000,3000000
190,Fire Department,Tech Rescue Water/Plumbing Access,Install Water And Sewer Infrastructure To The Tech Rescue Training Site At Moon Island.,Public Facilities Department,To Be Scheduled,Harbor Islands,5000000,0,0,0,0,0,0.0,0,0,5000000.0,0.0,0,0,0.0,0,5000000,5000000
191,Fire Department,Fire Headquarters Programming Study,Programming And Siting Study For A New Fire Department Headquarters Building.,Public Facilities Department,Study Underway,Citywide,2000000,0,0,0,0,0,0.0,100000,150000,1750000.0,0.0,0,0,0.0,0,2000000,2000000
192,Fire Department,Seaport Fire Station,Programming And Design For A New Firehouse Located In The Seaport.,Boston Planning And Development Agency,To Be Scheduled,South Boston,4000000,0,0,0,0,0,0.0,0,0,4000000.0,0.0,0,0,0.0,0,4000000,4000000
193,Fire Department,Fire Equipment Fy26-29,Purchase New Fire Apparatus For Fy26-Fy29 As Scheduled In The Apparatus Replacement Plan.,Fire Department,Annual Program,Citywide,777500,3000000,5222500,0,0,0,0.0,0,0,9000000.0,0.0,0,0,0.0,0,9000000,9000000
194,Fire Department,Fire Boat (Replace Norman Knight),Purchase A New Harbor Patrol Boat To Replace The Department'S Boat Named The Norman Knight.,Fire Department,Implementation Underway,Citywide,1192124,0,0,0,0,0,0.0,327688,0,864436.0,0.0,0,0,0.0,0,1192124,1192124
195,Transportation Department,Arboretum Gateway Path,"Construct The Arboretum Gateway Path, Which Will Create New Entrances To The Arnold Arboretum And Extend The Blackwell Path South To Roslindale Square. The First Phase Includes A New Entrance At The End Of Arboretum Road.",Transportation Department,In Construction,Roslindale,550000,0,0,200000,0,0,8834.0,416166,125000,0.0,0.0,100000,100000,0.0,500000,1250000,550000
196,Transportation Department,Bike Share Network Expansion,"Expand City'S Bike Share Network To Connect Neighborhoods That Are Further From Frequent, Reliable Rail Transit And Support Strong Demand In Employment Centers And Commercial Hubs.",Transportation Department,Implementation Underway,Citywide,750000,0,0,4750000,1900000,0,748264.0,0,0,1736.0,2357937.0,1350000,2942063,0.0,0,7400000,750000
197,Transportation Department,Blossom Street,"Upgrades To Blossom Street Including Upgraded Lighting, Geometric Changes For Pedestrian Safety, Roadway Resurfacing, And Pavement Markings Including Bicyclist Accommodations.",Public Works Department,In Design,West End,0,0,0,2000000,0,0,0.0,0,0,0.0,0.0,0,0,2000000.0,0,2000000,0
198,Transportation Department,Boylston Street,"Redesign And Reconstruct Boylston Street From Ipswich Street South To Park Drive And The Muddy River Crossing. Build Protected Bike Lanes, A Mid-Block Crossing, Upgraded Signals, Replacement Lighting And New Sidewalks In Certain Locations.",Transportation Department,In Design,Fenway-Kenmore,0,0,0,1376299,0,0,0.0,0,0,0.0,793701.0,0,0,582598.0,8665052,10041351,0
199,Transportation Department,Centre Street / South Street,Redesign Portions Of Centre Street And South Street In Jamaica Plain Using A Complete Streets Approach.,Transportation Department,In Design,Jamaica Plain,1000000,0,0,0,0,0,341690.0,19250,0,639060.0,0.0,0,0,0.0,0,1000000,1000000
200,Transportation Department,Dedicated Bus Lanes,"Transform Several Corridors Citywide For Rapid Bus Transit, Including The Construction Of Dedicated Bus Lanes On Summer Street, Boylston Street And St. James Street, And Clarendon Street.",Transportation Department,Annual Program,Citywide,7663782,0,0,5279918,0,0,340697.0,2715991,1800000,2807094.0,1064091.0,2250000,1965827,0.0,0,12943700,7663782
201,Transportation Department,Nubian Square Improvements,"Roadway Improvements From Shawmut Ave. To Harrison Ave. Including Six Key Nubian Square Intersections. The Scope Of Work Includes Geometric Changes, New Traffic Signal Equipment And Timing, Bike Lanes, And Streetscape Improvements.",Transportation Department,In Design,Roxbury,922183,0,0,14977817,0,2000000,922070.0,113,0,0.0,5640678.0,0,0,11337139.0,0,17900000,922183
202,Transportation Department,Eagle Square,Design For Traffic Flow And Safety Improvements In Eagle Square.,Transportation Department,In Design,East Boston,150000,0,0,2000000,0,0,0.0,0,0,150000.0,0.0,0,175000,1825000.0,0,2150000,150000
203,Transportation Department,Egleston Square,"Redesign Of Egleston Square Featuring Widened Sidewalks, Median Realignment, New Crosswalks, Raised Crosswalks And Neckdowns, Traffic Signal Improvements, And Rehabilitation Of The Sculpture Garden.",Transportation Department,In Design,Roxbury,6910000,0,0,1000000,0,0,0.0,0,0,6910000.0,693675.0,256325,50000,0.0,0,7910000,6910000
